Date,T,T2,T3
2017-06-20,-0.78,0.44,-0.056666667
2017-06-21,0.05,-0.78,0.11
2017-06-22,-0.06,0.05,0.243333333
2017-06-23,0.09,-0.06,-0.096666667
2017-06-26,0.25,0.09,-0.263333333
2017-06-27,0.53,0.25,0.026666667
2017-06-28,0.33,0.53,0.093333333
2017-06-29,-0.76,0.33,0.29
2017-06-30,-0.3,-0.76,0.37
2017-07-03,0.35,-0.3,0.033333333
2017-07-04,-0.4,0.35,-0.243333333
2017-07-05,0.21,-0.4,-0.236666667
2017-07-06,-0.03,0.21,-0.116666667
2017-07-07,-0.2,-0.03,0.053333333
2017-07-10,0.38,-0.2,-0.073333333
2017-07-11,-0.06,0.38,-0.006666667
2017-07-12,0.95,-0.06,0.05
2017-07-13,0.28,0.95,0.04
2017-07-14,0.8,0.28,0.423333333
2017-07-17,0.16,0.8,0.39
2017-07-18,-0.2,0.16,0.676666667
2017-07-19,0.28,-0.2,0.413333333
2017-07-20,0.66,0.28,0.253333333
2017-07-21,-0.71,0.66,0.08
2017-07-24,-0.42,-0.71,0.246666667
2017-07-25,0.41,-0.42,0.076666667
2017-07-26,1.03,0.41,-0.156666667
2017-07-27,-0.38,1.03,-0.24
2017-07-28,-0.13,-0.38,0.34
2017-07-31,0.49,-0.13,0.353333333
2017-08-01,0.33,0.49,0.173333333
2017-08-02,0.09,0.33,-0.006666667
2017-08-03,0.27,0.09,0.23
2017-08-04,-0.02,0.27,0.303333333
2017-08-07,0.18,-0.02,0.23
2017-08-08,-0.15,0.18,0.113333333
2017-08-09,-0.67,-0.15,0.143333333
2017-08-10,-0.83,-0.67,0.003333333
2017-08-11,-0.47,-0.83,-0.213333333
2017-08-14,0.63,-0.47,-0.55
2017-08-15,-0.24,0.63,-0.656666667
2017-08-16,0.85,-0.24,-0.223333333
2017-08-17,-0.8,0.85,-0.026666667
2017-08-18,-0.31,-0.8,0.413333333
2017-08-21,0.09,-0.31,-0.063333333
2017-08-22,0.33,0.09,-0.086666667
2017-08-23,-0.01,0.33,-0.34
2017-08-24,0.03,-0.01,0.036666667
2017-08-25,0.81,0.03,0.136666667
2017-08-28,0.01,0.81,0.116666667
2017-08-29,-0.87,0.01,0.276666667
